mut,rec,seqLen,dualInf,rep,inner,outer
0.00010,1.0E-7,1000,0.05,3.,4,No
0.00010,1.0E-7,1000,0.05,2.,No,No
0.010,1.0E-7,2500,0.05,1.,No,No
0.010,1.0E-7,2500,0.05,3.,No,No
0.00010,1.0E-7,1000,0.05,1.,No,No
0.010,1.0E-7,2500,0.05,2.,No,No
0.0010,0.0000010,1000,0.05,2.,2000,No
0.0010,1.0E-7,2500,0.05,3.,2000,No
0.00010,0.0000010,100,0.05,3.,No,No
0.010,0.0000010,100,0.05,1.,No,No
0.00010,0.0000010,100,0.05,2.,No,No
0.0010,1.0E-7,2500,0.05,2.,2000,No
0.0010,0.0000010,1000,0.05,3.,2000,No
0.0010,0.0000010,1000,0.05,1.,446,No
0.010,0.0000010,100,0.05,2.,No,No
0.010,0.0000010,100,0.05,3.,No,No
0.00010,0.0000010,100,0.05,1.,One,No
0.0010,1.0E-7,2500,0.05,1.,2000,No
0.0010,1.0E-7,100,0.05,3.,1112,No
0.0010,0.0000010,100,0.05,3.,447,No
0.010,0.0000010,1000,0.05,2.,2,No
0.00010,0.0000010,2500,0.05,3.,6,No
0.00010,1.0E-7,5000,0.05,1.,108,No
0.00010,0.0000010,2500,0.05,2.,No,No
0.010,0.0000010,1000,0.05,3.,No,No
0.0010,0.0000010,100,0.05,2.,367,No
0.0010,1.0E-7,100,0.05,2.,695,No
0.010,0.0000010,1000,0.05,1.,No,No
0.00010,1.0E-7,5000,0.05,2.,No,No
0.00010,1.0E-7,5000,0.05,3.,136,No
0.00010,0.0000010,2500,0.05,1.,10,No
0.0010,0.0000010,100,0.05,1.,979,No
0.0010,1.0E-7,100,0.05,1.,351,No
0.010,1.0E-7,100,0.05,2.,No,No
0.00010,1.0E-7,100,0.05,1.,No,No
0.010,1.0E-7,100,0.05,3.,No,No
0.010,1.0E-7,100,0.05,1.,No,No
0.00010,1.0E-7,100,0.05,3.,No,No
0.00010,1.0E-7,100,0.05,2.,No,No
0.00010,0.0000010,1000,0.05,1.,No,No
0.010,0.0000010,2500,0.05,1.,No,No
0.010,0.0000010,2500,0.05,3.,No,No
0.00010,0.0000010,1000,0.05,2.,56,No
0.00010,0.0000010,1000,0.05,3.,No,No
0.010,0.0000010,2500,0.05,2.,No,No
0.010,1.0E-7,1000,0.05,2.,No,No
0.00010,0.0000010,5000,0.05,3.,103,No
0.00010,1.0E-7,2500,0.05,1.,14,No
0.00010,0.0000010,5000,0.05,2.,2,No
0.010,1.0E-7,1000,0.05,3.,No,No
0.010,1.0E-7,1000,0.05,1.,No,No
0.00010,1.0E-7,2500,0.05,2.,175,No
0.00010,1.0E-7,2500,0.05,3.,No,No
0.00010,0.0000010,5000,0.05,1.,No,No
0.0010,1.0E-7,1000,0.05,1.,2000,No
0.0010,0.0000010,2500,0.05,1.,2000,No
0.0010,0.0000010,2500,0.05,3.,2000,No
0.0010,1.0E-7,1000,0.05,2.,2000,No
0.0010,1.0E-7,1000,0.05,3.,No,No
0.0010,0.0000010,2500,0.05,2.,2000,No
