task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	ce/094a4a	220207.hpcnode0	profile_s (msa_m0.0010_rc0.0000010_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:45.199	45m 50s	45m 45s	100.0%	33.9 MB	142 MB	8.1 MB	6 KB
10	d5/bf0e68	220208.hpcnode0	profile_s (msa_m0.0010_rc0.0000010_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:45.294	46m 30s	46m 26s	100.0%	33.8 MB	141.9 MB	8.1 MB	6 KB
12	32/99ed6a	220215.hpcnode0	profile_s (msa_m0.00010_rc1.0E-7_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:45.834	48m 44s	48m 22s	100.1%	23.6 MB	131.8 MB	8.1 MB	6 KB
13	e9/a047a9	220214.hpcnode0	profile_s (msa_m0.00010_rc1.0E-7_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:45.766	49m 44s	49m 14s	100.1%	23.5 MB	131.6 MB	8.1 MB	6 KB
16	81/9d1218	220217.hpcnode0	profile_s (msa_m0.00010_rc0.0000010_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:45.988	50m 49s	49m 48s	100.1%	23.6 MB	131.8 MB	8.1 MB	6 KB
5	48/de04dc	220219.hpcnode0	profile_s (msa_m0.00010_rc0.0000010_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:46.143	50m 49s	50m 20s	100.1%	23.7 MB	133.8 MB	8.1 MB	6 KB
8	88/bebfea	220223.hpcnode0	profile_s (msa_m0.00010_rc0.0000010_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:46.421	50m 49s	50m 24s	100.1%	23.7 MB	133.8 MB	8.1 MB	6 KB
17	81/f6602e	220210.hpcnode0	profile_s (msa_m0.00010_rc1.0E-7_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:45.436	51m 45s	50m 56s	100.2%	23.7 MB	131.8 MB	8.1 MB	6 KB
3	6c/35a46b	220218.hpcnode0	profile_s (msa_m0.0010_rc1.0E-7_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:46.052	51m 54s	51m 43s	100.1%	33.9 MB	141.9 MB	8.1 MB	6 KB
4	4c/1b3c4a	220213.hpcnode0	profile_s (msa_m0.010_rc1.0E-7_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:45.697	52m 49s	52m 25s	100.1%	34 MB	142.1 MB	8.1 MB	6 KB
7	6d/d1078e	220221.hpcnode0	profile_s (msa_m0.0010_rc0.0000010_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:46.278	52m 59s	52m 53s	100.1%	33.9 MB	143.9 MB	8.1 MB	6 KB
9	4a/99ad91	220224.hpcnode0	profile_s (msa_m0.0010_rc1.0E-7_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:46.484	52m 59s	52m 31s	100.1%	33.9 MB	143.9 MB	8.1 MB	6 KB
2	ae/6b2d55	220220.hpcnode0	profile_s (msa_m0.0010_rc1.0E-7_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:46.207	53m 59s	53m	100.1%	33.8 MB	143.9 MB	8.1 MB	6 KB
15	0f/b6ef6d	220212.hpcnode0	profile_s (msa_m0.010_rc0.0000010_n5000_dual0.05_rep1.fasta)	COMPLETED	0	2019-08-07 07:05:45.600	54m 50s	53m 51s	100.1%	34 MB	142.1 MB	8.1 MB	6 KB
6	59/67647b	220209.hpcnode0	profile_s (msa_m0.010_rc0.0000010_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:45.366	59m 45s	59m 11s	100.2%	34 MB	142.1 MB	8.1 MB	6 KB
1	7d/4d86aa	220216.hpcnode0	profile_s (msa_m0.010_rc0.0000010_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:45.906	1h 1m 54s	1h 1m 12s	100.1%	34 MB	142.1 MB	8.1 MB	6 KB
18	d0/bb7edc	220222.hpcnode0	profile_s (msa_m0.010_rc1.0E-7_n5000_dual0.05_rep3.fasta)	COMPLETED	0	2019-08-07 07:05:46.355	1h 2m 4s	1h 1m 33s	100.1%	34 MB	144.1 MB	8.1 MB	6 KB
14	5f/9a855d	220211.hpcnode0	profile_s (msa_m0.010_rc1.0E-7_n5000_dual0.05_rep2.fasta)	COMPLETED	0	2019-08-07 07:05:45.507	1h 2m 55s	1h 2m 18s	100.2%	34 MB	142.1 MB	8.1 MB	6 KB
