mut,rec,seqLen,dualInf,rep,NSS,MaxChi,PhiPerm,PhiNorm
0.010,0.0000010,1000,0.05,1.,7.56e-01,9.19e-01,3.80e-02,3.67e-02
0.0010,0.0000010,1000,0.05,3.,0.00e+00,0.00e+00,1.00e+00,1.00e+00
0.010,1.0E-7,100,0.05,3.,1.39e-01,2.29e-01,5.71e-01,5.42e-01
0.00010,0.0000010,2500,0.05,3.,0.00e+00,1.60e-02,1.00e+00,1.00e+00
0.00010,1.0E-7,2500,0.05,3.,7.10e-02,8.23e-01,7.51e-01,7.43e-01
0.010,0.0000010,1000,0.05,2.,1.66e-01,8.88e-01,2.62e-01,2.62e-01
0.00010,1.0E-7,100,0.05,2.,3.00e-02,2.15e-01,1.00e+00,9.99e-01
0.0010,1.0E-7,1000,0.05,2.,0.00e+00,0.00e+00,1.00e+00,1.00e+00
0.0010,0.0000010,100,0.05,1.,1.40e-02,0.00e+00,5.67e-01,5.67e-01
0.0010,1.0E-7,100,0.05,1.,3.00e-03,0.00e+00,8.65e-01,8.57e-01
0.010,1.0E-7,1000,0.05,1.,1.01e-01,8.81e-01,4.00e-02,2.84e-02
0.00010,0.0000010,100,0.05,3.,6.31e-01,6.13e-01,9.33e-01,9.23e-01
0.010,0.0000010,100,0.05,1.,3.04e-01,9.15e-01,8.00e-02,7.13e-02
0.0010,1.0E-7,100,0.05,2.,7.50e-02,0.00e+00,9.58e-01,9.48e-01
0.010,1.0E-7,1000,0.05,2.,5.44e-01,6.39e-01,2.89e-01,2.82e-01
0.010,0.0000010,100,0.05,2.,2.08e-01,7.41e-01,3.89e-01,3.95e-01
0.00010,0.0000010,1000,0.05,3.,1.87e-01,1.57e-01,8.51e-01,8.30e-01
0.00010,1.0E-7,1000,0.05,3.,3.01e-01,3.05e-01,7.44e-01,7.10e-01
0.00010,1.0E-7,100,0.05,1.,6.50e-02,2.10e-02,6.30e-02,6.23e-02
0.0010,0.0000010,100,0.05,2.,0.00e+00,0.00e+00,8.62e-01,8.48e-01
0.0010,1.0E-7,1000,0.05,1.,0.00e+00,0.00e+00,1.00e+00,1.00e+00
0.010,0.0000010,100,0.05,3.,1.38e-01,4.92e-01,2.65e-01,2.46e-01
0.00010,0.0000010,100,0.05,1.,3.20e-01,1.65e-01,8.00e-01,5.89e-01
0.010,1.0E-7,1000,0.05,3.,5.01e-01,3.29e-01,4.43e-01,4.46e-01
0.0010,1.0E-7,100,0.05,3.,1.40e-02,0.00e+00,9.52e-01,9.49e-01
0.0010,0.0000010,100,0.05,3.,3.20e-02,0.00e+00,2.61e-01,2.47e-01
0.00010,1.0E-7,1000,0.05,2.,7.50e-02,4.70e-02,1.15e-01,1.04e-01
0.00010,0.0000010,1000,0.05,2.,4.92e-01,2.85e-01,9.40e-01,9.39e-01
0.0010,1.0E-7,1000,0.05,3.,0.00e+00,4.96e-01,1.00e+00,1.00e+00
0.00010,1.0E-7,100,0.05,3.,6.03e-01,7.70e-01,7.79e-01,7.41e-01
0.00010,1.0E-7,1000,0.05,1.,3.88e-01,2.36e-01,6.64e-01,6.40e-01
0.00010,0.0000010,1000,0.05,1.,6.50e-01,2.40e-02,4.71e-01,4.20e-01
0.00010,0.0000010,100,0.05,2.,3.19e-01,1.00e+00,2.56e-01,1.02e-01
0.0010,0.0000010,1000,0.05,1.,0.00e+00,1.00e-03,1.00e+00,1.00e+00
0.010,1.0E-7,100,0.05,2.,3.83e-01,4.55e-01,1.77e-01,1.71e-01
0.010,0.0000010,1000,0.05,3.,7.48e-01,3.78e-01,5.21e-01,5.46e-01
0.00010,1.0E-7,2500,0.05,2.,0.00e+00,1.12e-01,9.88e-01,9.93e-01
0.00010,0.0000010,2500,0.05,2.,1.20e-02,4.98e-01,1.00e+00,9.99e-01
0.00010,1.0E-7,2500,0.05,1.,0.00e+00,2.07e-01,1.00e+00,1.00e+00
0.00010,0.0000010,2500,0.05,1.,6.90e-02,2.63e-01,8.91e-01,8.91e-01
0.0010,0.0000010,1000,0.05,2.,0.00e+00,0.00e+00,1.00e+00,1.00e+00
0.010,1.0E-7,100,0.05,1.,8.51e-01,2.38e-01,8.07e-01,8.17e-01
