task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
31,42/28e5fc,219290.hpcnode0,profile_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:58.498,1m 59s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB
29,79/4a689e,219287.hpcnode0,profile_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:58.310,2m 10s,2m 8s,100.0%,8 MB,116.1 MB,1.7 MB,6 KB
25,04/db21d2,219294.hpcnode0,profile_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:58.758,2m 39s,2m 5s,99.9%,6 MB,114.1 MB,1.7 MB,6 KB
26,dd/442b79,219289.hpcnode0,profile_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:58.436,2m 44s,2m 44s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB
40,f9/2aa649,219299.hpcnode0,profile_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:59.110,2m 44s,2m 8s,100.0%,8.1 MB,116.2 MB,1.7 MB,6 KB
13,48/7e2c35,219303.hpcnode0,profile_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:59.405,2m 44s,1m 56s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB
16,b1/9a2de3,219307.hpcnode0,profile_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:59.795,2m 43s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB
38,a4/fa7511,219310.hpcnode0,profile_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:00.065,2m 43s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB
28,e3/3acd60,219314.hpcnode0,profile_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:00.399,2m 43s,1m 58s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB
52,2e/a312ff,219318.hpcnode0,3seq_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:00.752,2m 42s,2m 24s,100.1%,520.1 MB,634.8 MB,437.8 MB,13.7 KB
