task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
17,16/b1fdb5,220545.hpcnode0,geneconv (msa_m0.00010_rc0.0000010_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:00.847,14.8s,13.8s,99.3%,5.2 MB,113.3 MB,250.3 KB,44.1 KB
5,c6/94a862,220548.hpcnode0,geneconv (msa_m0.00010_rc1.0E-7_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:01.124,39.5s,17.7s,99.7%,5.3 MB,113.4 MB,250.3 KB,21.1 KB
6,a5/edf7dd,220557.hpcnode0,geneconv (msa_m0.00010_rc0.0000010_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:01.762,38.8s,12s,98.9%,5.1 MB,113.1 MB,250.3 KB,34.6 KB
1,1a/ba3ce1,220559.hpcnode0,geneconv (msa_m0.00010_rc1.0E-7_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:01.913,38.7s,18.7s,99.8%,5.3 MB,113.4 MB,250.3 KB,17.1 KB
16,78/ed89d4,220561.hpcnode0,geneconv (msa_m0.00010_rc0.0000010_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:02.072,38.6s,17s,99.4%,5.3 MB,113.4 MB,250.3 KB,23.4 KB
2,09/2634f0,220562.hpcnode0,geneconv (msa_m0.00010_rc1.0E-7_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:02.135,38.5s,15.9s,99.3%,5.2 MB,113.3 MB,250.3 KB,18.2 KB
10,b9/b2953c,220551.hpcnode0,geneconv (msa_m0.0010_rc1.0E-7_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:01.364,1m 44s,1m 7s,100.1%,6.1 MB,114.2 MB,250.3 KB,40.6 KB
8,b8/65cb39,220552.hpcnode0,geneconv (msa_m0.0010_rc0.0000010_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:01.437,1m 44s,1m 10s,100.1%,6.1 MB,114.2 MB,250.3 KB,42.8 KB
3,a0/18db21,220553.hpcnode0,geneconv (msa_m0.0010_rc0.0000010_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:01.517,1m 44s,1m 9s,100.1%,6.1 MB,114.2 MB,250.3 KB,93.8 KB
13,d7/4ecaad,220554.hpcnode0,geneconv (msa_m0.0010_rc1.0E-7_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:01.579,1m 44s,1m 12s,100.0%,6.2 MB,114.3 MB,250.3 KB,103.8 KB
15,e7/e82ada,220556.hpcnode0,geneconv (msa_m0.0010_rc0.0000010_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:01.702,1m 44s,1m 7s,100.0%,6.1 MB,114.2 MB,250.3 KB,49.3 KB
7,7c/57a89a,220560.hpcnode0,geneconv (msa_m0.0010_rc1.0E-7_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:01.986,1m 44s,1m 3s,99.9%,6.2 MB,114.3 MB,250.3 KB,70.2 KB
11,a8/e65a8a,220546.hpcnode0,geneconv (msa_m0.010_rc0.0000010_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:00.942,2m 55s,2m 51s,100.0%,6.4 MB,114.5 MB,250.3 KB,9.4 KB
4,40/a04ed5,220547.hpcnode0,geneconv (msa_m0.010_rc1.0E-7_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:01.040,3m 40s,2m 58s,100.1%,6.6 MB,114.7 MB,250.3 KB,9.4 KB
9,5e/d1e5c4,220549.hpcnode0,geneconv (msa_m0.010_rc0.0000010_n100_dual0.05_rep3.fasta),COMPLETED,0,2019-08-13 14:47:01.199,3m 44s,2m 51s,100.1%,6.4 MB,114.5 MB,250.3 KB,9.7 KB
14,a1/f8fb3b,220550.hpcnode0,geneconv (msa_m0.010_rc1.0E-7_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:01.295,3m 44s,3m 7s,100.0%,6.2 MB,114.3 MB,250.3 KB,9.4 KB
12,51/c9630a,220555.hpcnode0,geneconv (msa_m0.010_rc0.0000010_n100_dual0.05_rep1.fasta),COMPLETED,0,2019-08-13 14:47:01.641,3m 49s,3m 13s,100.1%,6.3 MB,114.4 MB,250.3 KB,9.7 KB
18,7c/5a7511,220558.hpcnode0,geneconv (msa_m0.010_rc1.0E-7_n100_dual0.05_rep2.fasta),COMPLETED,0,2019-08-13 14:47:01.822,3m 49s,3m 46s,100.1%,6 MB,114.1 MB,250.3 KB,9.4 KB
