"","task_id","hash","native_id","name","mut","rc","seq_n","dual_inf","rep","status","exit","submit","duration","realtime","X.cpu","peak_rss","peak_vmem","rchar","wchar"
"1",18,"51/eb2623","228694.hpcnode0","geneconv","0.00010","1.0E-7","5000","0.05","2","COMPLETED","0","2019-08-17 20:00:42.924","2d 18h 26m 49s","2d 18h 25m 55s","100.1%","11.6 GB","11.7 GB","8.1 MB","1.3 GB"
"2",2,"e4/1ca6b6","228709.hpcnode0","geneconv","0.00010","0.0000010","5000","0.05","3","COMPLETED","0","2019-08-17 20:00:43.969","3d 10h 23m 49s","3d 10h 23m 1s","100.0%","13.5 GB","13.6 GB","8.1 MB","117.4 MB"
"3",15,"4d/a1719c","228702.hpcnode0","geneconv","0.00010","0.0000010","5000","0.05","1","COMPLETED","0","2019-08-17 20:00:43.488","3d 11h 20m 20s","3d 11h 19m 58s","100.1%","12.8 GB","12.9 GB","8.1 MB","740.8 MB"
"4",10,"dd/70cf5c","228697.hpcnode0","geneconv","0.00010","1.0E-7","5000","0.05","1","COMPLETED","0","2019-08-17 20:00:43.125","3d 12h 10s","3d 11h 59m 19s","100.1%","13.5 GB","13.6 GB","8.1 MB","60.3 MB"
"5",4,"4b/1d0682","228699.hpcnode0","geneconv","0.00010","0.0000010","5000","0.05","2","COMPLETED","0","2019-08-17 20:00:43.269","3d 14h 36m 50s","3d 14h 36m 49s","100.1%","13.4 GB","13.5 GB","8.1 MB","166.4 MB"
"6",12,"97/6c449c","228707.hpcnode0","geneconv","0.00010","1.0E-7","5000","0.05","3","COMPLETED","0","2019-08-17 20:00:43.839","4d 10h 42m 57s","4d 10h 42m 34s","100.1%","13.5 GB","13.6 GB","8.1 MB","100.6 MB"
"7",6,"72/a0c20e","228692.hpcnode0","geneconv","0.0010","1.0E-7","5000","0.05","2","ABORTED","-","2019-08-17 20:00:42.739","-","-","-","-","-","-","-"
"8",7,"17/45fff4","228693.hpcnode0","geneconv","0.0010","0.0000010","5000","0.05","2","ABORTED","-","2019-08-17 20:00:42.852","-","-","-","-","-","-","-"
"9",5,"81/f94c94","228695.hpcnode0","geneconv","0.0010","0.0000010","5000","0.05","1","ABORTED","-","2019-08-17 20:00:42.989","-","-","-","-","-","-","-"
"10",11,"5f/87b908","228696.hpcnode0","geneconv","0.0010","0.0000010","5000","0.05","3","ABORTED","-","2019-08-17 20:00:43.061","-","-","-","-","-","-","-"
"11",13,"38/ada6e3","228698.hpcnode0","geneconv","0.010","1.0E-7","5000","0.05","2","ABORTED","-","2019-08-17 20:00:43.194","-","-","-","-","-","-","-"
"12",14,"df/fb1301","228700.hpcnode0","geneconv","0.010","0.0000010","5000","0.05","1","ABORTED","-","2019-08-17 20:00:43.334","-","-","-","-","-","-","-"
"13",1,"3f/553d4f","228701.hpcnode0","geneconv","0.010","0.0000010","5000","0.05","2","ABORTED","-","2019-08-17 20:00:43.423","-","-","-","-","-","-","-"
"14",16,"f1/e2d8db","228703.hpcnode0","geneconv","0.010","1.0E-7","5000","0.05","3","ABORTED","-","2019-08-17 20:00:43.559","-","-","-","-","-","-","-"
"15",8,"d5/636741","228704.hpcnode0","geneconv","0.0010","1.0E-7","5000","0.05","3","ABORTED","-","2019-08-17 20:00:43.626","-","-","-","-","-","-","-"
"16",3,"5b/0102fb","228705.hpcnode0","geneconv","0.010","0.0000010","5000","0.05","3","ABORTED","-","2019-08-17 20:00:43.690","-","-","-","-","-","-","-"
"17",17,"9a/4bae46","228706.hpcnode0","geneconv","0.0010","1.0E-7","5000","0.05","1","ABORTED","-","2019-08-17 20:00:43.766","-","-","-","-","-","-","-"
"18",9,"d2/c30c2e","228708.hpcnode0","geneconv","0.010","1.0E-7","5000","0.05","1","ABORTED","-","2019-08-17 20:00:43.904","-","-","-","-","-","-","-"
