,hash,native_id,name,mut,rc,seq_n,dual_inf,rep,submit,duration,realtime,X.cpu,peak_rss,peak_vmem,rchar,wchar,parsed_hours
0,16/b1fdb5,220545.hpcnode0,geneconv,0.0001,1e-06,100,0.05,1,2019-08-13 14:47:00.847,14.8s,13.8s,99.3%,5.2 MB,113.3 MB,250.3 KB,44.1 KB,0.016666666666666666
1,c6/94a862,220548.hpcnode0,geneconv,0.0001,1e-07,100,0.05,3,2019-08-13 14:47:01.124,39.5s,17.7s,99.7%,5.3 MB,113.4 MB,250.3 KB,21.1 KB,0.016666666666666666
2,a5/edf7dd,220557.hpcnode0,geneconv,0.0001,1e-06,100,0.05,2,2019-08-13 14:47:01.762,38.8s,12s,98.9%,5.1 MB,113.1 MB,250.3 KB,34.6 KB,0.016666666666666666
3,1a/ba3ce1,220559.hpcnode0,geneconv,0.0001,1e-07,100,0.05,1,2019-08-13 14:47:01.913,38.7s,18.7s,99.8%,5.3 MB,113.4 MB,250.3 KB,17.1 KB,0.016666666666666666
4,78/ed89d4,220561.hpcnode0,geneconv,0.0001,1e-06,100,0.05,3,2019-08-13 14:47:02.072,38.6s,17s,99.4%,5.3 MB,113.4 MB,250.3 KB,23.4 KB,0.016666666666666666
5,09/2634f0,220562.hpcnode0,geneconv,0.0001,1e-07,100,0.05,2,2019-08-13 14:47:02.135,38.5s,15.9s,99.3%,5.2 MB,113.3 MB,250.3 KB,18.2 KB,0.016666666666666666
6,b9/b2953c,220551.hpcnode0,geneconv,0.001,1e-07,100,0.05,1,2019-08-13 14:47:01.364,1m 44s,1m 7s,100.1%,6.1 MB,114.2 MB,250.3 KB,40.6 KB,0.03333333333333333
7,b8/65cb39,220552.hpcnode0,geneconv,0.001,1e-06,100,0.05,2,2019-08-13 14:47:01.437,1m 44s,1m 10s,100.1%,6.1 MB,114.2 MB,250.3 KB,42.8 KB,0.03333333333333333
8,a0/18db21,220553.hpcnode0,geneconv,0.001,1e-06,100,0.05,1,2019-08-13 14:47:01.517,1m 44s,1m 9s,100.1%,6.1 MB,114.2 MB,250.3 KB,93.8 KB,0.03333333333333333
9,d7/4ecaad,220554.hpcnode0,geneconv,0.001,1e-07,100,0.05,3,2019-08-13 14:47:01.579,1m 44s,1m 12s,100.0%,6.2 MB,114.3 MB,250.3 KB,103.8 KB,0.03333333333333333
10,e7/e82ada,220556.hpcnode0,geneconv,0.001,1e-06,100,0.05,3,2019-08-13 14:47:01.702,1m 44s,1m 7s,100.0%,6.1 MB,114.2 MB,250.3 KB,49.3 KB,0.03333333333333333
11,7c/57a89a,220560.hpcnode0,geneconv,0.001,1e-07,100,0.05,2,2019-08-13 14:47:01.986,1m 44s,1m 3s,99.9%,6.2 MB,114.3 MB,250.3 KB,70.2 KB,0.03333333333333333
12,a8/e65a8a,220546.hpcnode0,geneconv,0.01,1e-06,100,0.05,2,2019-08-13 14:47:00.942,2m 55s,2m 51s,100.0%,6.4 MB,114.5 MB,250.3 KB,9.4 KB,0.05
13,40/a04ed5,220547.hpcnode0,geneconv,0.01,1e-07,100,0.05,3,2019-08-13 14:47:01.040,3m 40s,2m 58s,100.1%,6.6 MB,114.7 MB,250.3 KB,9.4 KB,0.05
14,5e/d1e5c4,220549.hpcnode0,geneconv,0.01,1e-06,100,0.05,3,2019-08-13 14:47:01.199,3m 44s,2m 51s,100.1%,6.4 MB,114.5 MB,250.3 KB,9.7 KB,0.05
15,a1/f8fb3b,220550.hpcnode0,geneconv,0.01,1e-07,100,0.05,1,2019-08-13 14:47:01.295,3m 44s,3m 7s,100.0%,6.2 MB,114.3 MB,250.3 KB,9.4 KB,0.06666666666666667
16,51/c9630a,220555.hpcnode0,geneconv,0.01,1e-06,100,0.05,1,2019-08-13 14:47:01.641,3m 49s,3m 13s,100.1%,6.3 MB,114.4 MB,250.3 KB,9.7 KB,0.06666666666666667
17,7c/5a7511,220558.hpcnode0,geneconv,0.01,1e-07,100,0.05,2,2019-08-13 14:47:01.822,3m 49s,3m 46s,100.1%,6 MB,114.1 MB,250.3 KB,9.4 KB,0.06666666666666667
18,0a/097a58,219190.hpcnode0,profile_s,0.0001,1e-07,100,0.05,2,2019-07-31 13:37:01.345,4.7s,1.2s,95.6%,2.4 MB,110.6 MB,217.1 KB,6 KB,0.016666666666666666
19,c3/5d3bfa,219191.hpcnode0,3seq_s,0.001,1e-07,100,0.05,1,2019-07-31 13:37:01.430,4.7s,3.5s,81.4%,450.7 MB,563.4 MB,436.5 MB,9.4 KB,0.016666666666666666
20,2b/d9613e,219195.hpcnode0,3seq_s,0.001,1e-06,100,0.05,3,2019-07-31 13:37:01.709,4.6s,3.6s,76.7%,450.7 MB,563.4 MB,436.5 MB,9.4 KB,0.016666666666666666
21,56/917c79,219199.hpcnode0,profile_s,0.01,1e-06,100,0.05,2,2019-07-31 13:37:02.014,4.3s,2.8s,97.7%,3.1 MB,111.2 MB,217.2 KB,6 KB,0.016666666666666666
22,b7/f50faa,219200.hpcnode0,3seq_s,0.0001,1e-07,100,0.05,3,2019-07-31 13:37:02.114,4.2s,2.1s,35.6%,339.1 MB,563.4 MB,436.5 MB,9.3 KB,0.016666666666666666
23,ed/6f1c91,219202.hpcnode0,3seq_s,0.0001,1e-06,100,0.05,1,2019-07-31 13:37:02.280,4.1s,1.7s,32.7%,391 MB,563.4 MB,436.5 MB,9.3 KB,0.016666666666666666
24,00/ab6eb5,219204.hpcnode0,profile_s,0.01,1e-07,100,0.05,1,2019-07-31 13:37:02.420,4s,3.2s,97.9%,3.2 MB,111.3 MB,217.1 KB,6 KB,0.016666666666666666
25,06/62df9d,219206.hpcnode0,3seq_s,0.0001,1e-06,100,0.05,2,2019-07-31 13:37:02.581,3.9s,1.2s,33.8%,450.6 MB,563.4 MB,436.4 MB,9.3 KB,0.016666666666666666
26,40/e25b42,219207.hpcnode0,3seq_s,0.0001,1e-07,100,0.05,2,2019-07-31 13:37:02.655,3.8s,1.6s,51.1%,450.6 MB,563.4 MB,436.4 MB,9.3 KB,0.016666666666666666
27,4c/7d3a84,219210.hpcnode0,profile_s,0.01,1e-07,100,0.05,3,2019-07-31 13:37:02.845,3.7s,2.3s,97.4%,2.9 MB,111.1 MB,217.1 KB,6 KB,0.016666666666666666
