task_id,hash,native_id,name,mut,rc,seq_n,dual_inf,rep,status,exit,submit,duration,realtime,X.cpu,peak_rss,peak_vmem,rchar,wchar
17,16/b1fdb5,220545.hpcnode0,geneconv,0.0001,0.000001,100,0.05,1,COMPLETED,0,47:00.8,14.8s,13.8s,99.30%,5.2 MB,113.3 MB,250.3 KB,44.1 KB
5,c6/94a862,220548.hpcnode0,geneconv,0.0001,1.00E-07,100,0.05,3,COMPLETED,0,47:01.1,39.5s,17.7s,99.70%,5.3 MB,113.4 MB,250.3 KB,21.1 KB
6,a5/edf7dd,220557.hpcnode0,geneconv,0.0001,0.000001,100,0.05,2,COMPLETED,0,47:01.8,38.8s,12s,98.90%,5.1 MB,113.1 MB,250.3 KB,34.6 KB
1,1a/ba3ce1,220559.hpcnode0,geneconv,0.0001,1.00E-07,100,0.05,1,COMPLETED,0,47:01.9,38.7s,18.7s,99.80%,5.3 MB,113.4 MB,250.3 KB,17.1 KB
16,78/ed89d4,220561.hpcnode0,geneconv,0.0001,0.000001,100,0.05,3,COMPLETED,0,47:02.1,38.6s,17s,99.40%,5.3 MB,113.4 MB,250.3 KB,23.4 KB
2,09/2634f0,220562.hpcnode0,geneconv,0.0001,1.00E-07,100,0.05,2,COMPLETED,0,47:02.1,38.5s,15.9s,99.30%,5.2 MB,113.3 MB,250.3 KB,18.2 KB
10,b9/b2953c,220551.hpcnode0,geneconv,0.001,1.00E-07,100,0.05,1,COMPLETED,0,47:01.4,1m 44s,1m 7s,100.10%,6.1 MB,114.2 MB,250.3 KB,40.6 KB
8,b8/65cb39,220552.hpcnode0,geneconv,0.001,0.000001,100,0.05,2,COMPLETED,0,47:01.4,1m 44s,1m 10s,100.10%,6.1 MB,114.2 MB,250.3 KB,42.8 KB
3,a0/18db21,220553.hpcnode0,geneconv,0.001,0.000001,100,0.05,1,COMPLETED,0,47:01.5,1m 44s,1m 9s,100.10%,6.1 MB,114.2 MB,250.3 KB,93.8 KB
13,d7/4ecaad,220554.hpcnode0,geneconv,0.001,1.00E-07,100,0.05,3,COMPLETED,0,47:01.6,1m 44s,1m 12s,100.00%,6.2 MB,114.3 MB,250.3 KB,103.8 KB
15,e7/e82ada,220556.hpcnode0,geneconv,0.001,0.000001,100,0.05,3,COMPLETED,0,47:01.7,1m 44s,1m 7s,100.00%,6.1 MB,114.2 MB,250.3 KB,49.3 KB
7,7c/57a89a,220560.hpcnode0,geneconv,0.001,1.00E-07,100,0.05,2,COMPLETED,0,47:02.0,1m 44s,1m 3s,99.90%,6.2 MB,114.3 MB,250.3 KB,70.2 KB
11,a8/e65a8a,220546.hpcnode0,geneconv,0.01,0.000001,100,0.05,2,COMPLETED,0,47:00.9,2m 55s,2m 51s,100.00%,6.4 MB,114.5 MB,250.3 KB,9.4 KB
4,40/a04ed5,220547.hpcnode0,geneconv,0.01,1.00E-07,100,0.05,3,COMPLETED,0,47:01.0,3m 40s,2m 58s,100.10%,6.6 MB,114.7 MB,250.3 KB,9.4 KB
9,5e/d1e5c4,220549.hpcnode0,geneconv,0.01,0.000001,100,0.05,3,COMPLETED,0,47:01.2,3m 44s,2m 51s,100.10%,6.4 MB,114.5 MB,250.3 KB,9.7 KB
14,a1/f8fb3b,220550.hpcnode0,geneconv,0.01,1.00E-07,100,0.05,1,COMPLETED,0,47:01.3,3m 44s,3m 7s,100.00%,6.2 MB,114.3 MB,250.3 KB,9.4 KB
12,51/c9630a,220555.hpcnode0,geneconv,0.01,0.000001,100,0.05,1,COMPLETED,0,47:01.6,3m 49s,3m 13s,100.10%,6.3 MB,114.4 MB,250.3 KB,9.7 KB
18,7c/5a7511,220558.hpcnode0,geneconv,0.01,1.00E-07,100,0.05,2,COMPLETED,0,47:01.8,3m 49s,3m 46s,100.10%,6 MB,114.1 MB,250.3 KB,9.4 KB
24,0a/097a58,219190.hpcnode0,profile_s,0.0001,1.00E-07,100,0.05,2,COMPLETED,0,37:01.3,4.7s,1.2s,95.60%,2.4 MB,110.6 MB,217.1 KB,6 KB
46,c3/5d3bfa,219191.hpcnode0,3seq_s,0.001,1.00E-07,100,0.05,1,COMPLETED,0,37:01.4,4.7s,3.5s,81.40%,450.7 MB,563.4 MB,436.5 MB,9.4 KB
51,2b/d9613e,219195.hpcnode0,3seq_s,0.001,0.000001,100,0.05,3,COMPLETED,0,37:01.7,4.6s,3.6s,76.70%,450.7 MB,563.4 MB,436.5 MB,9.4 KB
29,56/917c79,219199.hpcnode0,profile_s,0.01,0.000001,100,0.05,2,COMPLETED,0,37:02.0,4.3s,2.8s,97.70%,3.1 MB,111.2 MB,217.2 KB,6 KB
40,b7/f50faa,219200.hpcnode0,3seq_s,0.0001,1.00E-07,100,0.05,3,COMPLETED,0,37:02.1,4.2s,2.1s,35.60%,339.1 MB,563.4 MB,436.5 MB,9.3 KB
53,ed/6f1c91,219202.hpcnode0,3seq_s,0.0001,0.000001,100,0.05,1,COMPLETED,0,37:02.3,4.1s,1.7s,32.70%,391 MB,563.4 MB,436.5 MB,9.3 KB
32,00/ab6eb5,219204.hpcnode0,profile_s,0.01,1.00E-07,100,0.05,1,COMPLETED,0,37:02.4,4s,3.2s,97.90%,3.2 MB,111.3 MB,217.1 KB,6 KB
39,06/62df9d,219206.hpcnode0,3seq_s,0.0001,0.000001,100,0.05,2,COMPLETED,0,37:02.6,3.9s,1.2s,33.80%,450.6 MB,563.4 MB,436.4 MB,9.3 KB
41,40/e25b42,219207.hpcnode0,3seq_s,0.0001,1.00E-07,100,0.05,2,COMPLETED,0,37:02.7,3.8s,1.6s,51.10%,450.6 MB,563.4 MB,436.4 MB,9.3 KB
22,4c/7d3a84,219210.hpcnode0,profile_s,0.01,1.00E-07,100,0.05,3,COMPLETED,0,37:02.8,3.7s,2.3s,97.40%,2.9 MB,111.1 MB,217.1 KB,6 KB
18,db/b09f7c,219211.hpcnode0,profile_s,0.001,1.00E-07,100,0.05,2,COMPLETED,0,37:02.9,3.7s,1.3s,95.30%,2.5 MB,110.6 MB,217.1 KB,6 KB
33,d4/c9e285,219214.hpcnode0,profile_s,0.001,0.000001,100,0.05,3,COMPLETED,0,37:03.1,3.5s,1.3s,94.50%,2.5 MB,110.6 MB,217.1 KB,6 KB
31,58/5c4155,219215.hpcnode0,profile_s,0.001,1.00E-07,100,0.05,3,COMPLETED,0,37:03.2,3.5s,1.3s,94.60%,2.5 MB,110.6 MB,217.1 KB,6 KB
26,ae/aadf4d,219220.hpcnode0,profile_s,0.001,0.000001,100,0.05,2,COMPLETED,0,37:03.5,3.2s,1.6s,96.40%,2.5 MB,112.6 MB,219.9 KB,6 KB
43,6a/2b77ce,219222.hpcnode0,3seq_s,0.0001,1.00E-07,100,0.05,1,COMPLETED,0,37:03.6,3.1s,2.1s,50.00%,371.5 MB,565.4 MB,436.4 MB,9.3 KB
20,f2/a2e5ec,219223.hpcnode0,profile_s,0.0001,0.000001,100,0.05,2,COMPLETED,0,37:03.7,3s,1.4s,96.70%,2.4 MB,112.6 MB,219.9 KB,6.3 KB
21,f6/160b05,219224.hpcnode0,profile_s,0.0001,1.00E-07,100,0.05,3,COMPLETED,0,37:03.7,3s,1.5s,95.70%,2.4 MB,112.6 MB,219.9 KB,6 KB
28,a0/d6a133,219227.hpcnode0,profile_s,0.001,1.00E-07,100,0.05,1,COMPLETED,0,37:03.9,2.8s,1.6s,94.90%,2.5 MB,112.6 MB,220.1 KB,6 KB
34,3e/ce6f76,219230.hpcnode0,profile_s,0.0001,0.000001,100,0.05,3,COMPLETED,0,37:04.1,2.6s,1.5s,94.10%,2.4 MB,112.6 MB,220.1 KB,6 KB
16,f4/097fd8,219232.hpcnode0,profile_s,0.001,0.000001,100,0.05,1,COMPLETED,0,37:04.3,2.5s,1.6s,95.60%,2.5 MB,112.6 MB,220.1 KB,6 KB
35,c6/e21c5d,219235.hpcnode0,profile_s,0.0001,0.000001,100,0.05,1,COMPLETED,0,37:04.5,2.3s,1.5s,95.10%,2.4 MB,112.6 MB,219.9 KB,6 KB
25,48/7f8bb5,219237.hpcnode0,profile_s,0.0001,1.00E-07,100,0.05,1,COMPLETED,0,37:04.7,2.2s,1.3s,94.80%,2.4 MB,110.6 MB,217.1 KB,6 KB
52,90/4d92d6,219238.hpcnode0,3seq_s,0.0001,0.000001,100,0.05,3,COMPLETED,0,37:04.7,2.2s,742ms,86.80%,1.3 MB,103.6 MB,436.4 MB,9.3 KB
48,51/83ca38,219192.hpcnode0,3seq_s,0.01,0.000001,100,0.05,1,COMPLETED,0,37:01.5,9.6s,6.2s,91.50%,450.7 MB,563.4 MB,436.5 MB,9.4 KB
19,87/ba4ac7,219213.hpcnode0,phipack_s,0.0001,0.000001,100,0.05,1,COMPLETED,0,37:03.0,8s,6.1s,99.10%,2.6 MB,110.7 MB,217.1 KB,16.2 KB
13,0a/c00146,219193.hpcnode0,phipack_s,0.001,1.00E-07,100,0.05,3,COMPLETED,0,37:01.6,29.5s,24.2s,99.70%,3.4 MB,111.4 MB,217.1 KB,57.3 KB
4,2f/f8377c,219196.hpcnode0,phipack_s,0.0001,1.00E-07,100,0.05,2,COMPLETED,0,37:01.8,39.3s,7.1s,98.60%,2.6 MB,110.7 MB,217.1 KB,19.9 KB
