task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
1,d4/246401,53162,S1_filter_fasta,COMPLETED,0,2019-09-16 13:58:42.466,3.2s,2.8s,126.8%,101.4 MB,1.5 GB,61.1 MB,26.9 MB
2,bb/7bc9b9,53410,S2_santa_xml,COMPLETED,0,2019-09-16 13:58:45.753,442ms,20ms,0.0%,0,0,55.6 KB,3 KB
3,90/d985b5,53524,S3_param_sweep (1),COMPLETED,0,2019-09-16 13:58:46.265,387ms,19ms,0.0%,0,0,55.7 KB,3 KB
7,67/30bb22,53531,S3_param_sweep (5),COMPLETED,0,2019-09-16 13:58:46.312,354ms,19ms,0.0%,0,0,55.7 KB,3 KB
12,4f/5065d3,53543,S3_param_sweep (10),COMPLETED,0,2019-09-16 13:58:46.354,352ms,19ms,0.0%,0,0,55.7 KB,3 KB
5,03/552651,53553,S3_param_sweep (3),COMPLETED,0,2019-09-16 13:58:46.395,350ms,19ms,0.0%,0,0,55.7 KB,3 KB
4,e7/b90431,53563,S3_param_sweep (2),COMPLETED,0,2019-09-16 13:58:46.439,355ms,21ms,0.0%,0,0,55.7 KB,3 KB
28,03/0c36ca,53594,S3_param_sweep (26),COMPLETED,0,2019-09-16 13:58:46.481,353ms,20ms,0.0%,0,0,55.7 KB,2.9 KB
8,b9/349b68,53676,S3_param_sweep (6),COMPLETED,0,2019-09-16 13:58:46.522,387ms,18ms,0.0%,0,0,55.7 KB,2.9 KB
10,21/8ce318,53789,S3_param_sweep (8),COMPLETED,0,2019-09-16 13:58:46.566,353ms,18ms,0.0%,0,0,55.7 KB,2.9 KB
11,5a/5f754a,53866,S3_param_sweep (9),COMPLETED,0,2019-09-16 13:58:46.609,353ms,18ms,0.0%,0,0,55.6 KB,2.9 KB
9,28/89d5cb,53961,S3_param_sweep (7),COMPLETED,0,2019-09-16 13:58:46.653,351ms,17ms,0.0%,0,0,55.7 KB,3 KB
14,f1/d64def,54038,S3_param_sweep (12),COMPLETED,0,2019-09-16 13:58:46.694,356ms,18ms,0.0%,0,0,55.7 KB,3 KB
13,6b/18dd30,54117,S3_param_sweep (11),COMPLETED,0,2019-09-16 13:58:46.735,348ms,18ms,0.0%,0,0,55.7 KB,3 KB
40,4f/6d6e5f,54187,S3_param_sweep (38),COMPLETED,0,2019-09-16 13:58:46.777,344ms,17ms,0.0%,0,0,55.7 KB,3 KB
16,9c/fe69f9,54277,S3_param_sweep (14),COMPLETED,0,2019-09-16 13:58:46.817,350ms,18ms,0.0%,0,0,55.7 KB,3 KB
6,7c/aaee6a,54356,S3_param_sweep (4),COMPLETED,0,2019-09-16 13:58:46.856,331ms,18ms,0.0%,0,0,55.7 KB,3 KB
20,26/ab5e17,54450,S3_param_sweep (18),COMPLETED,0,2019-09-16 13:58:46.895,348ms,18ms,0.0%,0,0,55.6 KB,2.9 KB
27,38/d2bfd6,54536,S3_param_sweep (25),COMPLETED,0,2019-09-16 13:58:46.934,343ms,18ms,0.0%,0,0,55.7 KB,3 KB
30,c8/d93423,54619,S3_param_sweep (28),COMPLETED,0,2019-09-16 13:58:46.973,345ms,18ms,0.0%,0,0,55.7 KB,3 KB
22,17/35b2bb,54712,S3_param_sweep (20),COMPLETED,0,2019-09-16 13:58:47.013,336ms,19ms,0.0%,0,0,55.7 KB,3 KB
31,ee/543a5a,54869,S3_param_sweep (29),COMPLETED,0,2019-09-16 13:58:47.091,339ms,19ms,0.0%,0,0,55.7 KB,3 KB
25,cf/c666bb,54794,S3_param_sweep (23),COMPLETED,0,2019-09-16 13:58:47.052,414ms,18ms,0.0%,0,0,55.7 KB,3 KB
21,75/a6d9d4,54958,S3_param_sweep (19),COMPLETED,0,2019-09-16 13:58:47.130,338ms,18ms,0.0%,0,0,55.7 KB,3 KB
51,21/5e77c6,55078,S3_param_sweep (49),COMPLETED,0,2019-09-16 13:58:47.181,339ms,18ms,0.0%,0,0,55.7 KB,3 KB
23,6c/910278,55153,S3_param_sweep (21),COMPLETED,0,2019-09-16 13:58:47.219,349ms,18ms,0.0%,0,0,55.7 KB,3 KB
17,25/860c43,55230,S3_param_sweep (15),COMPLETED,0,2019-09-16 13:58:47.257,348ms,18ms,0.0%,0,0,55.7 KB,2.9 KB
50,6c/24f6a5,55299,S3_param_sweep (48),COMPLETED,0,2019-09-16 13:58:47.296,334ms,18ms,0.0%,0,0,55.7 KB,3 KB
29,1a/3f906c,55388,S3_param_sweep (27),COMPLETED,0,2019-09-16 13:58:47.335,354ms,18ms,0.0%,0,0,55.6 KB,2.9 KB
15,e8/bf269f,55497,S3_param_sweep (13),COMPLETED,0,2019-09-16 13:58:47.373,345ms,17ms,0.0%,0,0,55.7 KB,3 KB
19,99/024878,55557,S3_param_sweep (17),COMPLETED,0,2019-09-16 13:58:47.412,348ms,17ms,0.0%,0,0,55.7 KB,2.9 KB
57,21/c97e1f,55662,S3_param_sweep (55),COMPLETED,0,2019-09-16 13:58:47.458,347ms,17ms,0.0%,0,0,55.7 KB,3 KB
26,ae/125629,55759,S3_param_sweep (24),COMPLETED,0,2019-09-16 13:58:47.497,342ms,18ms,0.0%,0,0,55.7 KB,2.9 KB
33,ca/1ae2ae,55862,S3_param_sweep (31),COMPLETED,0,2019-09-16 13:58:47.546,380ms,18ms,0.0%,0,0,55.7 KB,3 KB
24,52/91f1d2,55927,S3_param_sweep (22),COMPLETED,0,2019-09-16 13:58:47.584,357ms,18ms,0.0%,0,0,55.7 KB,3 KB
32,35/68bf54,56088,S3_param_sweep (30),COMPLETED,0,2019-09-16 13:58:47.661,340ms,17ms,0.0%,0,0,55.7 KB,3 KB
18,5e/ed245b,56009,S3_param_sweep (16),COMPLETED,0,2019-09-16 13:58:47.623,381ms,19ms,0.0%,0,0,55.7 KB,3 KB
