mut,rec,seqLen,dualInf,rep,generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
0.000010,1.0E-7,1000,0.25,2,213,10000,1.3592079207920793,4.0,0.023437500000000003,0.24601731770833335,0.31249999999999994,4665,45.6311
0.000010,0.0000010,2500,1,3,213,10000,0.9766336633663366,4.0,0.0044703483581542925,0.05997186236911344,0.07947285970052076,5359,47.1011
0.0000010,1.0E-7,5000,0.1,1,213,10000,0.019801980198019802,1.0,0.10000000000000002,0.9977016666666668,1.0,9911,31.1655
0.0010,1.0E-7,100,1,2,213,10000,33.85980198019802,52.0,1.831054687499998E-5,0.20119481725685393,1.0000000000000002,10,200.5506
0.0010,0.000010,100,0.25,1,213,10000,20.90990099009901,46.0,1.9531250000000044E-5,0.18062942227201026,0.8333333333333343,11,201.1579
0.000010,0.010,2500,1,2,213,10000,0.8902970297029703,4.0,0.08333333333333337,0.9856433333333336,1.0,421,18.582
0.0000010,0.000010,100,0.25,1,213,10000,0.05821782178217822,1.0,0.050862630208333356,0.13445988407843035,0.1356336805555556,9800,47.8019
1.0E-7,1.0E-7,2500,0.1,1,213,10000,0.0,0.0,0.375,0.74990625,0.75,9997,0.0083
0.0010,0.0000010,2500,0.5,3,213,10000,15.44990099009901,30.0,1.5258789062500016E-6,0.0266491227583372,0.17361111111111113,24,200.6711
0.010,0.0010,2500,0.5,2,213,10000,96.57920792079207,189.0,3.1391956125054337E-68,2.0583226184282596E-56,1.4795876533835604E-53,1,1797.3851
0.000010,0.0000010,100,0.05,1,213,10000,1.2803960396039604,5.0,0.013020833333333346,0.28463081597221196,0.3472222222222223,4867,46.698
0.0000010,0.000010,100,0.5,1,213,10000,0.32831683168316833,2.0,0.024414062500000007,0.30697428385418973,0.3255208333333333,7714,43.1598
0.00010,0.0010,5000,0.05,3,213,10000,5.276435643564357,14.0,0.002170138888888892,0.4937344603990201,0.578703703703704,435,61.6658
0.010,0.0000010,100,0.05,1,213,10000,64.05227722772277,102.0,3.4488539056826755E-81,3.3813410941773567E-65,1.285825931735059E-61,1,1797.1029
0.010,0.00010,5000,0.5,1,213,10000,65.15029702970297,114.0,3.991729057502747E-84,7.2351979136804515E-68,6.6528817625033105E-65,1,1797.3808
0.000010,0.0010,5000,1,3,213,10000,0.27603960396039606,4.0,0.025000000000000012,0.491725416666667,0.5000000000000001,7838,33.6104
0.0010,1.0E-7,2500,0.05,2,213,10000,28.74910891089109,48.0,4.882812500000002E-6,0.17106837204944916,0.8333333333333335,11,200.8693
1.0E-7,0.00010,1000,0.1,1,213,10000,0.0,0.0,4.1438852349529016E-5,8.285076944503088E-5,8.287770469905803E-5,9986,3.0332
0.000010,0.010,1000,0.05,1,213,10000,0.4530693069306931,2.0,0.07500000000000002,0.9840716666666669,1.0,6789,24.1494
0.00010,0.0010,1000,1,1,213,10000,2.1013861386138615,6.0,0.008333333333333342,0.7113066579860566,0.8333333333333334,3248,66.6287
0.00010,0.000010,1000,1,3,213,10000,4.421188118811881,11.0,0.005000000000000006,0.8568030625000023,1.0000000000000002,1140,61.0813
0.0000010,0.0010,2500,0.25,1,213,10000,0.05900990099009901,2.0,0.06250000000000003,0.623446875,0.6250000000000001,9620,32.0283
0.0010,0.010,5000,0.25,3,213,10000,25.775841584158417,46.0,7.629394531250015E-6,0.04738531163539736,0.21701388888888892,13,200.8153
0.0010,0.0000010,1000,0.05,3,213,10000,36.518019801980195,59.0,1.2500000000000007E-5,0.21364132096401617,1.0,11,201.1198
1.0E-7,0.0010,100,0.25,3,213,10000,0.0,0.0,0.09374999999999999,0.1874859375,0.1875,9191,0.4881
1.0E-7,0.00010,2500,0.25,1,213,10000,0.03920792079207921,1.0,1.0,1.0,1.0,9806,12.0745
0.0010,1.0E-7,100,0.1,3,213,10000,37.05980198019802,64.0,4.943847656250001E-6,0.22087645317043766,1.0,18,200.7387
0.010,0.000010,2500,0.1,2,213,10000,99.03663366336633,160.0,3.81476690750026E-68,1.2332334750634985E-55,4.938361759011024E-53,1,1797.5867
0.00010,0.0000010,5000,0.1,1,213,10000,4.464554455445545,14.0,0.009375000000000005,0.8598037465277796,1.0000000000000002,1020,58.6337
0.0010,1.0E-7,2500,0.1,2,213,10000,36.88831683168317,55.0,2.034505208333332E-5,0.14232983571464455,0.6944444444444444,14,200.8719
0.000010,0.00010,100,1,3,213,10000,2.316039603960396,7.0,0.008138020833333348,0.14603468577067427,0.18310546875000028,4803,47.9572
0.010,0.000010,2500,1,3,213,10000,73.02891089108911,156.0,6.243064742256656E-66,1.1543586337553126E-53,7.76737142972567E-51,1,1797.5554
0.010,0.0010,1000,0.25,1,213,10000,90.23524752475248,145.0,3.262623285197974E-68,7.120810239292982E-56,3.5596352967265517E-53,1,1797.4726
1.0E-7,0.0000010,100,0.5,1,213,10000,0.0,0.0,6.984919309616093E-4,0.0013967044651508333,0.0013969838619232186,9994,15.0094
0.0000010,0.00010,5000,0.25,2,213,10000,0.0,0.0,0.022605613425925947,0.22576150776429713,0.2260561342592594,9954,34.0473
0.0000010,0.0010,1000,0.5,1,213,10000,0.039603960396039604,2.0,0.0025749206542968763,0.025708479881286626,0.025749206542968767,9852,29.0198
0.0010,0.00010,5000,0.25,2,213,10000,24.26079207920792,41.0,7.629394531250015E-6,0.14608001314202287,0.8333333333333339,14,200.8796
0.0010,0.010,100,1,1,213,10000,28.523168316831683,50.0,6.781684027777789E-6,0.09269938055036632,0.43402777777777785,8,200.7287
0.000010,0.00010,2500,0.5,2,213,10000,2.6372277227722773,8.0,8.381903171539291E-4,0.019979089498519894,0.029802322387695233,2747,54.0788
0.0000010,0.0010,2500,1,1,213,10000,0.0,0.0,0.10000000000000002,0.9988766666666666,1.0,9261,22.8497
0.010,0.000010,5000,0.05,2,213,10000,60.26514851485148,114.0,1.6894362834072575E-65,2.323625498784859E-53,2.0503499309143613E-50,1,1797.7686
1.0E-7,0.000010,2500,0.05,3,213,10000,0.019801980198019802,1.0,0.00362098217010498,0.007241059094667435,0.007241964340209961,9929,14.0437
0.000010,0.000010,5000,0.05,2,213,10000,0.4051485148514852,4.0,0.032552083333333384,0.32037367078996376,0.4340277777777783,8361,62.0412
0.0000010,0.010,5000,0,3,213,10000,0.019801980198019802,1.0,0.10000000000000002,0.9986300000000001,1.0,9969,19.1084
0.000010,0.010,1000,1,1,213,10000,0.13861386138613863,2.0,0.057870370370370385,0.5695422212577257,0.5787037037037038,2220,26.5432
0.000010,0.000010,100,0.25,2,213,10000,0.11841584158415841,2.0,0.07500000000000002,0.9834250000000003,1.0,8801,32.9253
1.0E-7,0.010,2500,0.05,1,213,10000,0.0,0.0,0.375,0.749925,0.75,9304,0.1892
1.0E-7,0.000010,100,0.05,3,213,10000,0.0,0.0,5.364418029785162E-4,7.152199745178224E-4,7.15255737304688E-4,9996,0.0127
1.0E-7,0.000010,5000,1,1,213,10000,0.0,0.0,1.309672370553016E-5,2.6189518393948667E-5,2.619344741106032E-5,9732,2.5376
0.0000010,0.010,5000,1,3,213,10000,0.4986138613861386,2.0,0.03750000000000001,0.4155262500000001,0.5000000000000001,4186,2.3261
0.00010,0.000010,100,0.5,2,213,10000,6.9031683168316835,16.0,0.010000000000000004,0.8541194114583357,1.0,428,59.6913
0.00010,0.0000010,100,0.05,2,213,10000,6.307128712871287,14.0,0.003750000000000002,0.641060062499995,0.75,255,58.5102
0.0000010,0.000010,1000,0.05,2,213,10000,0.03920792079207921,1.0,0.05000000000000001,0.5001975000000001,1.0,9811,17.4269
0.0010,1.0E-7,5000,0.25,3,213,10000,33.23287128712871,58.0,4.3945312500000046E-5,0.20641779854249973,1.0000000000000002,9,201.0361
0.000010,0.0000010,2500,0.25,1,213,10000,1.3746534653465348,5.0,0.0416666666666667,0.48927002314819,0.5555555555555559,5328,42.522
0.0000010,0.010,2500,0.5,2,213,10000,0.0,0.0,0.06250000000000003,0.6238218750000001,0.6250000000000001,5929,5.8302
1.0E-7,1.0E-7,100,0.1,2,213,10000,0.019801980198019802,1.0,1.3411045074462888E-4,0.001343902945518494,0.0017881393432617188,9880,0.2616
0.00010,0.0010,2500,0.25,2,213,10000,1.8201980198019803,8.0,0.0026041666666666713,0.593546718267701,0.833333333333334,3513,69.3985
1.0E-7,0.0000010,100,0.25,1,213,10000,0.9877227722772277,2.0,0.022605613425925916,0.04520670572916322,0.04521122685185184,5056,20.0143
0.00010,0.00010,5000,0.1,3,213,10000,6.07029702970297,14.0,0.010000000000000004,0.8530525277777812,1.0,668,58.178
0.010,0.010,1000,0.1,2,213,10000,75.5429702970297,145.0,4.171447613351497E-63,4.547826076477417E-52,7.381259751292428E-49,1,1797.4886
0.00010,0.0010,2500,1,2,213,10000,4.611089108910891,12.0,0.00578703703703704,0.4966935040509614,0.6944444444444446,835,60.7189
0.0010,0.0000010,100,1,2,213,10000,33.02990099009901,58.0,2.9663085937499992E-5,0.21998588806870056,1.0,25,200.8368
0.0010,0.00010,2500,0.05,3,213,10000,28.283762376237625,55.0,4.577636718750002E-6,0.12263469367121763,0.5787037037037042,13,200.8178
0.0000010,0.00010,2500,0.05,3,213,10000,0.019801980198019802,1.0,0.10000000000000002,0.9983550000000001,1.0,9908,19.2213
0.0000010,0.0010,100,1,3,213,10000,0.039603960396039604,2.0,0.02812500000000001,0.2812640625,0.5625000000000001,9390,5.8043
1.0E-7,0.0000010,100,1,1,213,10000,0.0,0.0,0.375,0.7498875,0.75,9891,0.2801
