"","mut","rec","seqnum","dualInf","rep","seq","simulated","geneconv","Condition","Method"
"1",1e-04,0,100,0,4,"seq_1",FALSE,FALSE,"TN","GENECONV"
"2",1e-04,0,100,0,4,"seq_2",FALSE,FALSE,"TN","GENECONV"
"3",1e-04,0,100,0,4,"seq_3",FALSE,FALSE,"TN","GENECONV"
"4",1e-04,0,100,0,4,"seq_4",FALSE,FALSE,"TN","GENECONV"
"5",1e-04,0,100,0,4,"seq_5",FALSE,FALSE,"TN","GENECONV"
"6",1e-04,0,100,0,4,"seq_6",FALSE,FALSE,"TN","GENECONV"
"7",1e-04,0,100,0,4,"seq_7",FALSE,FALSE,"TN","GENECONV"
"8",1e-04,0,100,0,4,"seq_8",FALSE,FALSE,"TN","GENECONV"
"9",1e-04,0,100,0,4,"seq_9",FALSE,FALSE,"TN","GENECONV"
"10",1e-04,0,100,0,4,"seq_10",FALSE,FALSE,"TN","GENECONV"
"11",1e-04,0,100,0,4,"seq_11",FALSE,FALSE,"TN","GENECONV"
"12",1e-04,0,100,0,4,"seq_12",FALSE,FALSE,"TN","GENECONV"
"13",1e-04,0,100,0,4,"seq_13",FALSE,FALSE,"TN","GENECONV"
"14",1e-04,0,100,0,4,"seq_14",FALSE,FALSE,"TN","GENECONV"
"15",1e-04,0,100,0,4,"seq_15",FALSE,FALSE,"TN","GENECONV"
"16",1e-04,0,100,0,4,"seq_16",FALSE,FALSE,"TN","GENECONV"
"17",1e-04,0,100,0,4,"seq_17",FALSE,FALSE,"TN","GENECONV"
"18",1e-04,0,100,0,4,"seq_18",FALSE,FALSE,"TN","GENECONV"
"19",1e-04,0,100,0,4,"seq_19",FALSE,FALSE,"TN","GENECONV"
"20",1e-04,0,100,0,4,"seq_20",FALSE,FALSE,"TN","GENECONV"
"21",1e-04,0,100,0,4,"seq_21",FALSE,FALSE,"TN","GENECONV"
"22",1e-04,0,100,0,4,"seq_22",FALSE,FALSE,"TN","GENECONV"
