mut,rec,seqLen,dualInf,rep,frag_type,seq_names,sim_pval,BC_KA_pval,aligned_start,aligned_end,aligned_length,seq1_begin,seq1_end,seq1_length,seq2_begin,seq2_end,seq2_length,num_poly,num_dif,total_diffs,mismatch_penalty,
0.0001,1.00E-07,1000,0.05,3,GI,seq_491;seq_807,0.007,> 1.0,58,1680,1623,58,1680,1623,58,1680,1623,323,0,9,None,"
"
0.0001,1.00E-07,1000,0.05,3,GI,seq_70;seq_491,0.0301,> 1.0,43,1680,1638,43,1680,1638,43,1680,1638,338,0,8,None,"
"
0.0001,1.00E-07,1000,0.05,3,GI,seq_491;seq_515,0.0301,> 1.0,43,1680,1638,43,1680,1638,43,1680,1638,338,0,8,None,"
"
0.0001,1.00E-07,1000,0.05,3,GI,seq_491;seq_702,0.0301,> 1.0,43,1680,1638,43,1680,1638,43,1680,1638,338,0,8,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_200,0,1.91E-07,688,1680,993,688,1680,993,688,1680,993,795,0,55,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_200,0,3.30E-07,687,1680,994,687,1680,994,687,1680,994,796,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_342,0,3.30E-07,687,1680,994,687,1680,994,687,1680,994,796,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_526,0,3.44E-07,688,1680,993,688,1680,993,688,1680,993,795,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_732,0,3.44E-07,688,1680,993,688,1680,993,688,1680,993,795,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_920,0,3.44E-07,688,1680,993,688,1680,993,688,1680,993,795,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_526,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_732,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_920,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_949,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_526,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_732,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_920,0,5.93E-07,687,1680,994,687,1680,994,687,1680,994,796,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_15;seq_661,0,6.42E-07,689,1680,992,689,1680,992,689,1680,992,794,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_960,0,6.54E-07,688,1651,964,688,1651,964,688,1651,964,779,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_976,0,8.00E-07,688,1645,958,688,1645,958,688,1645,958,774,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_309,0,1.03E-06,685,1679,995,685,1679,995,685,1679,995,797,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_526;seq_949,0,1.07E-06,687,1680,994,687,1680,994,687,1680,994,796,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_732;seq_949,0,1.07E-06,687,1680,994,687,1680,994,687,1680,994,796,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_920;seq_949,0,1.07E-06,687,1680,994,687,1680,994,687,1680,994,796,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_15;seq_128,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_301,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_399,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_434,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_638,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_761,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_825,0,1.11E-06,688,1680,993,688,1680,993,688,1680,993,795,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_960,0,1.12E-06,687,1651,965,687,1651,965,687,1651,965,780,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_960,0,1.12E-06,687,1651,965,687,1651,965,687,1651,965,780,0,53,None,"
"
